date,type,entry_time,entry_price,sl,tp,status,trailing_active,exit_time,exit_price,reason,pnl,pnl_pct
2020-05-05,buy,2020-05-05 04:00:00,8874.4800225,8674.4800225,9574.4800225,closed,True,2020-05-05 13:40:00,8936.835,TimeExit,62.35497749999922,0.7026324623178759
2020-05-06,buy,2020-05-06 08:00:00,9067.7265975,8867.7265975,9767.7265975,closed,True,2020-05-06 13:40:00,9188.345,TimeExit,120.61840250000023,1.3301945223321399
2020-05-07,sell,2020-05-07 04:45:00,9254.875247500002,9554.875247500002,8554.875247500002,closed,False,2020-05-07 13:20:00,9554.875247500002,StopLoss,-300.0,-3.1397584189128414
2020-05-08,sell,2020-05-08 05:20:00,9827.044020000001,10027.044020000001,9127.044020000001,closed,True,2020-05-08 13:40:00,9872.275,TimeExit,-45.23097999999845,-0.45816166992915797
2020-05-09,sell,2020-05-09 04:00:00,9838.4783,10038.4783,9138.4783,closed,True,2020-05-09 13:40:00,9702.96,TimeExit,135.51830000000155,1.396669676057627
2020-05-10,buy,2020-05-10 07:15:00,8713.709677499999,8513.709677499999,9413.709677499999,closed,True,2020-05-10 13:40:00,8784.07,TimeExit,70.36032250000062,0.807466912533017
2020-05-11,sell,2020-05-11 04:20:00,8651.701985000002,8851.701985000002,7951.7019850000015,closed,True,2020-05-11 10:45:00,8851.701985000002,TSL HIT,-200.0,-2.2594524797481697
2020-05-12,buy,2020-05-12 04:45:00,8741.2234275,8541.2234275,9441.2234275,closed,True,2020-05-12 13:40:00,8746.724999999999,TimeExit,5.501572499999384,0.06293824366383483
2020-05-13,sell,2020-05-13 04:05:00,8886.6094725,9086.6094725,8186.6094725,closed,True,2020-05-13 12:45:00,9086.6094725,TSL HIT,-200.0,-2.2010410000043112
2020-05-14,sell,2020-05-14 04:35:00,9297.24905,9597.24905,8597.24905,closed,False,2020-05-14 08:45:00,9597.24905,StopLoss,-300.0,-3.1258957482196426
2020-05-15,sell,2020-05-15 04:55:00,9429.8277275,9629.8277275,8729.8277275,closed,True,2020-05-15 07:10:00,9629.8277275,TSL HIT,-200.0,-2.0768803519595425
2020-05-16,buy,2020-05-16 04:05:00,9457.411342500001,9257.411342500001,10157.411342500001,closed,True,2020-05-16 13:40:00,9429.96,TimeExit,-27.451342500002283,-0.2902627527327728
